index,name,area,span_z,span_y,u_avg,k_enh,skew_g,skew_l
0,rectangle_0000,160,2,80,0.65793805675652,0.069540532296633,-0.560421226814737,-26.5997977430333
1,rectangle_0001,80,2,40,0.649359031027417,0.059208911413395,-0.544979264589529,-13.2428684098961
2,rectangle_0002,53.33333332,2,26.6666666666667,0.639873873567939,0.055069149875961,-0.503847787194518,-8.22153133780403
3,rectangle_0003,40,2,20,0.626060883860985,0.051444199693732,-0.458831340214172,-5.38370071583334
4,rectangle_0004,32,2,16,0.614919035684922,0.048346350111127,-0.420284778571223,-3.90926133025187
5,rectangle_0005,26.66666668,2,13.3333333333333,0.60482609746247,0.044444032108743,-0.381861863482469,-2.8960007992496
6,rectangle_0006,22.85714284,2,11.4285714285714,0.595613069664583,0.040831359044775,-0.347685713390918,-2.20472346111218
7,rectangle_0007,20,2,10,0.584104279838777,0.037547484062636,-0.309716324805219,-1.71362608873107
8,rectangle_0008,17.77777776,2,8.88888888888889,0.573708062198601,0.035114402207346,-0.27272978165211,-1.32312842313837
9,rectangle_0009,16,2,8,0.562857323855525,0.032167621300217,-0.24095577169436,-1.04223007473518
10,rectangle_0010,14.54545456,2,7.27272727272727,0.552640518895618,0.029674340924742,-0.209887852768833,-0.818630590984561
11,rectangle_0011,13.33333332,2,6.66666666666667,0.54160306073677,0.027172854827124,-0.181295470988421,-0.638872557563179
12,rectangle_0012,12.30769232,2,6.15384615384615,0.531339384629136,0.025056333270044,-0.152449978830256,-0.490374578747552
13,rectangle_0013,11.42857144,2,5.71428571428571,0.521226826976141,0.0229805148507,-0.128925551523651,-0.374543556707
14,rectangle_0014,10.66666668,2,5.33333333333333,0.510802465582839,0.021013940343847,-0.106773300351506,-0.275765520019805
15,rectangle_0015,10,2,5,0.500355356264777,0.019374179140776,-0.08304243564812,-0.194606661170367
16,rectangle_0016,9.41176472,2,4.70588235294118,0.489729405513428,0.017710496760411,-0.06485966108053,-0.127282726514097
17,rectangle_0017,8.88888888,2,4.44444444444444,0.478962317473642,0.016246161993728,-0.04648655555454,-0.073269515122846
18,rectangle_0018,8.42105264,2,4.21052631578947,0.468796544688614,0.014888379199797,-0.03077621407414,-0.025908032752329
19,rectangle_0019,8,2,4,0.458338795773794,0.013589552953827,-0.01728108132767,0.014050896647734
20,rectangle_0020,7.6190476,2,3.80952380952381,0.448625635551755,0.012510899999143,-0.004003524936494,0.048387272831619
21,rectangle_0021,7.27272728,2,3.63636363636364,0.438133979495624,0.011421759755003,0.006170791408904,0.075215390264475
22,rectangle_0022,6.95652172,2,3.47826086956522,0.428224348147023,0.01048940011764,0.016370993148953,0.099253126586146
23,rectangle_0023,6.66666668,2,3.33333333333333,0.418131340733527,0.009646257597794,0.02737997736943,0.121071875678281
24,rectangle_0024,6.4,2,3.2,0.408718435419849,0.008871440211892,0.0356254795067,0.13938682054848
25,rectangle_0025,6.15384616,2,3.07692307692308,0.398500424499133,0.008136102156613,0.043325658337264,0.152647875596962
26,rectangle_0026,5.92592592,2,2.96296296296296,0.38957837445576,0.007496649590244,0.048601767549187,0.163969122996567
27,rectangle_0027,5.71428572,2,2.85714285714286,0.380349815212254,0.006895928101279,0.05389639645797,0.173788669089474
28,rectangle_0028,5.51724136,2,2.75862068965517,0.370921141119451,0.006342981884623,0.059592559506154,0.182609444990635
29,rectangle_0029,5.33333332,2,2.66666666666667,0.361894717329395,0.005850268620131,0.064469877297825,0.188915840353972
30,rectangle_0030,5.16129032,2,2.58064516129032,0.353008838587614,0.005381336991078,0.066985026359961,0.1930763951083
31,rectangle_0031,5,2,2.5,0.344313054367378,0.004965258185697,0.070763627164309,0.196899864302913
32,rectangle_0032,4.84848484,2,2.42424242424242,0.335564390693584,0.00458172056179,0.073948067110522,0.199527225498852
33,rectangle_0033,4.70588236,2,2.35294117647059,0.327429927951419,0.004229774577429,0.075703112198617,0.201618614874576
34,rectangle_0034,4.57142856,2,2.28571428571429,0.319355749085692,0.003914320686045,0.077739846362964,0.202226186975916
35,rectangle_0035,4.44444444,2,2.22222222222222,0.311618376004088,0.003625120270355,0.079498244293617,0.202538316202032
36,rectangle_0036,4.32432432,2,2.16216216216216,0.303547341813205,0.003342809649656,0.08067879822472,0.201901588166648
37,rectangle_0037,4.21052632,2,2.10526315789474,0.296166937450518,0.003101778928602,0.081154856798136,0.201014928038024
38,rectangle_0038,4.10256412,2,2.05128205128205,0.289053256873061,0.00288027011688,0.080847914887278,0.197931106026441
39,rectangle_0039,4,2,2,0.281688320787007,0.002662068106844,0.081485200729819,0.196670428549413
