index,name,area,span_z,span_y,u_avg,k_enh,skew_g,skew_l,lambda,q
0,trapezoid_0000,40.0,2.0,40.0,0.3383616740696513,0.9286320497886764,0.6023752423421772,-4.971040648422697,0.05,0.0
1,trapezoid_0001,42.0,2.0,40.0,0.3708375329752955,1.075260864638446,0.5314162094351006,-5.471889276577513,0.05,0.05
2,trapezoid_0002,44.0,2.0,40.0,0.4004130139874729,1.1996816438942528,0.46477362141421075,-5.8563562103350915,0.05,0.1
3,trapezoid_0003,46.0,2.0,40.0,0.42646561789251913,1.2473058324379556,0.37616381207923455,-6.569496630042687,0.05,0.15000000000000002
4,trapezoid_0004,48.0,2.0,40.0,0.4503332030359686,1.268284522129388,0.3019156915273749,-7.168895304571969,0.05,0.2
5,trapezoid_0005,50.0,2.0,40.0,0.47271882232510065,1.2677851651026089,0.2215064238804589,-7.931772098602068,0.05,0.25
6,trapezoid_0006,51.99999999999999,2.0,40.0,0.494899038992683,1.2141527140336572,0.14406622414199058,-8.740743844469117,0.05,0.30000000000000004
7,trapezoid_0007,54.0,2.0,40.0,0.5157626053727592,1.1248358674065282,0.060980356064571646,-9.717759486630015,0.05,0.35000000000000003
8,trapezoid_0008,55.99999999999999,2.0,40.0,0.5314045054168551,1.0186975317853038,-0.008598652486367457,-10.40548840932494,0.05,0.4
9,trapezoid_0009,57.99999999999999,2.0,40.0,0.5535790268300318,0.9235297819425548,-0.08291653392586215,-11.257844245786968,0.05,0.45
10,trapezoid_0010,60.0,2.0,40.0,0.5662119500280224,0.7964291424061549,-0.1448478773600817,-11.781055164389164,0.05,0.5
11,trapezoid_0011,62.0,2.0,40.0,0.5766495529790673,0.7068335200571552,-0.1922031102696424,-12.287145203331168,0.05,0.55
12,trapezoid_0012,64.0,2.0,40.0,0.5935599981669566,0.575409578862863,-0.2530859062193576,-13.099078491646877,0.05,0.6000000000000001
13,trapezoid_0013,66.0,2.0,40.0,0.6041389022220108,0.4674693096837076,-0.29391232480386326,-13.74297184207869,0.05,0.65
14,trapezoid_0014,68.0,2.0,40.0,0.6170133866848974,0.35816026061994916,-0.3477337562911067,-14.181107471722946,0.05,0.7000000000000001
15,trapezoid_0015,70.00000000000001,2.0,40.0,0.629190252606016,0.27199177936424396,-0.3889407369040391,-14.541376543891223,0.05,0.75
16,trapezoid_0016,72.0,2.0,40.0,0.636617572796885,0.204181882546254,-0.4235817737369734,-14.63255694116926,0.05,0.8
17,trapezoid_0017,74.0,2.0,40.0,0.6430223215098665,0.1339815100434228,-0.45554903252325746,-14.879593398348161,0.05,0.8500000000000001
18,trapezoid_0018,76.0,2.0,40.0,0.6505924686720604,0.09846138765527666,-0.4805957626642114,-14.566306832427443,0.05,0.9
19,trapezoid_0019,78.0,2.0,40.0,0.6574371984037746,0.06992129937810823,-0.4993092087357509,-13.739444477930576,0.05,0.9500000000000001
20,trapezoid_0020,80.0,2.0,40.0,0.6604746057010891,0.0688345031414453,-0.509689998263486,-13.94568646919839,0.05,1.0
21,trapezoid_0021,20.0,2.0,20.0,0.32678094746226616,0.20870905297880432,0.4980846115671189,229206430.60965908,0.1,0.0
22,trapezoid_0022,21.0,2.0,20.0,0.3543848468469976,0.24243202206119965,0.47864919529963784,-2.8257313686889414,0.1,0.05
23,trapezoid_0023,22.0,2.0,20.0,0.3857623096845911,0.27895347074015414,0.4265723786760731,-2.9717288471840715,0.1,0.1
24,trapezoid_0024,23.0,2.0,20.0,0.41093025851906534,0.2958270735964611,0.35691034561598795,-3.250921649911925,0.1,0.15000000000000002
25,trapezoid_0025,24.0,2.0,20.0,0.4354875834278449,0.3020526722467724,0.27485664192664533,-3.5826190028774705,0.1,0.2
26,trapezoid_0026,25.0,2.0,20.0,0.45775771227742645,0.29442166065160014,0.1879195275461732,-3.9388867299333676,0.1,0.25
27,trapezoid_0027,26.0,2.0,20.0,0.477596585840207,0.28780969590887795,0.12220453613153746,-4.220136818618319,0.1,0.30000000000000004
28,trapezoid_0028,27.0,2.0,20.0,0.49424466618728374,0.27906701621580515,0.06218651356753525,-4.441768969059984,0.1,0.35000000000000003
29,trapezoid_0029,28.0,2.0,20.0,0.5155608468481198,0.2595785605420539,-0.014464714265123725,-4.807251432168933,0.1,0.4
30,trapezoid_0030,29.0,2.0,20.0,0.5293488237362846,0.23243896310752496,-0.0789219491744981,-5.128823937980911,0.1,0.45
31,trapezoid_0031,30.0,2.0,20.0,0.5461155304476991,0.20866211842497245,-0.13623236892060597,-5.4213859075154005,0.1,0.5
32,trapezoid_0032,30.999999999999996,2.0,20.0,0.5577938535752964,0.18478240553825268,-0.1826677447426563,-5.555185193515596,0.1,0.55
33,trapezoid_0033,32.0,2.0,20.0,0.5701223363591946,0.15763584078619935,-0.23313891265408795,-5.707132906164953,0.1,0.6000000000000001
34,trapezoid_0034,33.0,2.0,20.0,0.5814860869272709,0.138985398587507,-0.2722892084482242,-5.68690911706886,0.1,0.65
35,trapezoid_0035,34.0,2.0,20.0,0.591004484631935,0.11264293509303841,-0.3203224037566573,-5.927633911323678,0.1,0.7000000000000001
36,trapezoid_0036,35.00000000000001,2.0,20.0,0.6028250012548615,0.09708014352745623,-0.3574261421985475,-5.802494077135269,0.1,0.75
37,trapezoid_0037,36.0,2.0,20.0,0.609856031416871,0.07696363329344878,-0.3956542787468235,-5.892607288304628,0.1,0.8
38,trapezoid_0038,37.0,2.0,20.0,0.616364945899063,0.06965287404970756,-0.412185338191365,-5.481906089439429,0.1,0.8500000000000001
39,trapezoid_0039,38.0,2.0,20.0,0.6219694581530204,0.05640160292265605,-0.4356315867359425,-5.536622022667683,0.1,0.9
40,trapezoid_0040,39.0,2.0,20.0,0.6300439633028722,0.05616214695724835,-0.4512921737171748,-5.327053688740399,0.1,0.9500000000000001
41,trapezoid_0041,40.0,2.0,20.0,0.6273412004708363,0.049846638147798175,-0.45954629538611863,-5.6451543263275115,0.1,1.0
42,trapezoid_0042,13.33333334,2.0,13.333333333333332,0.3120651379759433,0.08363758392769179,0.44317490819523725,-1.9210135934832786,0.15000000000000002,0.0
43,trapezoid_0043,14.0,2.0,13.333333333333332,0.34183680519456205,0.09785403926186038,0.4199789168094669,-1.9765306130382783,0.15000000000000002,0.05
44,trapezoid_0044,14.666666679999999,2.0,13.333333333333332,0.37072529914615504,0.11225748102817783,0.38708486571057155,-2.0367933583010167,0.15000000000000002,0.1
45,trapezoid_0045,15.333333339999998,2.0,13.333333333333332,0.3954445465470002,0.12053922881610409,0.3344720258564582,-2.159296853286668,0.15000000000000002,0.15000000000000002
46,trapezoid_0046,16.0,2.0,13.333333333333332,0.4198939801239536,0.1238958191976542,0.2660092278906562,-2.317608832803265,0.15000000000000002,0.2
47,trapezoid_0047,16.66666668,2.0,13.333333333333332,0.44474391425143894,0.1272950501907189,0.2009479642192957,-2.451898347398416,0.15000000000000002,0.25
48,trapezoid_0048,17.33333334,2.0,13.333333333333332,0.46377223201474294,0.12585831048136187,0.1397034534964174,-2.6032564231573816,0.15000000000000002,0.30000000000000004
49,trapezoid_0049,18.0,2.0,13.333333333333332,0.4826377524363402,0.12185876124824957,0.07823517289180892,-2.7446986727181226,0.15000000000000002,0.35000000000000003
50,trapezoid_0050,18.66666668,2.0,13.333333333333332,0.4980355370754718,0.11505843836898562,0.020579887220499114,-2.861512113909444,0.15000000000000002,0.4
51,trapezoid_0051,19.33333334,2.0,13.333333333333332,0.5142728455394245,0.10959246949462295,-0.03479099697221322,-2.9526688976440703,0.15000000000000002,0.45
